Region,Force,Trial,Frame,Deformation radius (mm),Penetration depth (mm),Max compressive strain (%)
Region A,1,1,11,0.990629887,0.029645946,11.30749836
Region A,1,1,12,0.986788766,0.029152076,7.872417947
Region A,1,1,13,1.088072551,0.027444049,8.030997381
Region A,1,1,14,0.979559806,0.027900684,8.228141448
Region A,1,1,15,0.878748524,0.028907616,9.442985096
Region A,1,1,16,1.082406829,0.033349651,8.360637569
Region A,1,1,17,0.978849531,0.032580702,8.621163545
Region A,1,1,18,1.083902595,0.03345035,8.151307484
Region A,1,1,19,0.897696556,0.026909048,9.609320315
Region A,1,1,20,0.997923779,0.029371527,9.465340187
Region A,1,1,21,0.88695541,0.032068833,12.66087575
Region A,1,1,22,0.867404284,0.11159828,15.86232739
Region A,1,2,12,0.8,0.068474762,10.3416623
Region A,1,2,13,0.895435625,0.07212382,9.269875551
Region A,1,2,14,0.848025718,0.071299272,8.897113903
Region A,1,2,15,0.898180795,0.074121456,11.50312679
Region A,1,2,16,0.890400217,0.058509809,9.626706875
Region A,1,2,17,0.888771792,0.074430345,8.986613811
Region A,1,2,18,0.887273715,0.071872836,9.009604162
Region A,1,2,19,0.964059896,0.071146,8.985037191
Region A,1,2,20,0.926459366,0.074774355,8.645819362
Region A,1,2,21,0.892763805,0.056195514,8.862370374
Region A,1,2,22,0.8,0.094532659,10.26794872
Region A,1,3,11,0.5,0.095032905,10.51738362
Region A,1,3,12,0.587848294,0.101126477,12.91833973
Region A,1,3,13,0.589124108,0.058035855,4.526821673
Region A,1,3,14,0.627668965,0.038727543,5.395912751
Region A,1,3,15,0.616795713,0.06032177,5.760627872
Region A,1,3,16,0.62978508,0.189225116,5.983550328
Region A,1,3,17,0.59383954,0.144282015,6.310925204
Region A,1,3,18,0.602510672,0.098607105,6.79150419
Region A,1,3,19,0.606253189,0.091886717,7.759419404
Region A,1,3,20,0.626628072,0.095622425,10.92850221
Region A,1,3,21,0.608496155,0.089227381,7.862632945
Region A,1,3,22,1.109294652,0.08137218,8.008415769
Region CD,0.16,1,11,0.922230764,0.028147766,3.668307745
Region CD,0.16,1,12,0.793158163,0.027715021,5.455835298
Region CD,0.16,1,13,0.87581531,0.033091413,5.016285443
Region CD,0.16,1,14,0.819055581,0.027834518,6.377305204
Region CD,0.16,1,15,0.871658491,0.031565386,5.648894551
Region CD,0.16,1,16,0.874393592,0.035261858,3.950053368
Region CD,0.16,1,17,0.870574729,0.03253011,6.044778227
Region CD,0.16,1,18,0.861378956,0.034882735,5.937875527
Region CD,0.16,1,19,0.843450067,0.033213394,5.841659733
Region CD,0.16,1,20,0.96998868,0.039067249,5.294871886
Region CD,0.16,1,21,0.83441609,0.031315162,5.980710775
Region CD,0.16,1,22,0.732269581,0.033505542,4.899635555
Region CD,0.16,2,11,0.794309069,0.023703538,3.533466365
Region CD,0.16,2,12,0.785331341,0.02446693,3.669676062
Region CD,0.16,2,13,0.653507475,0.023795985,3.696213436
Region CD,0.16,2,14,0.596210445,0.0255381,4.252140398
Region CD,0.16,2,15,0.660903358,0.025483963,3.820188282
Region CD,0.16,2,16,0.67482438,0.023408349,4.129009325
Region CD,0.16,2,17,0.595558895,0.026539493,4.512272435
Region CD,0.16,2,18,0.610549148,0.026549121,4.483957062
Region CD,0.16,2,19,0.674552122,0.026613654,4.332463328
Region CD,0.16,2,20,0.624599351,0.024744325,4.434641604
Region CD,0.16,2,21,0.674135077,0.022645684,4.17978636
Region CD,0.16,2,22,0.800399719,0.027210941,3.293288188
Region CD,0.16,3,11,0.669773029,0.031828948,3.859847203
Region CD,0.16,3,12,0.780406286,0.032952003,4.614121388
Region CD,0.16,3,13,0.663581583,0.031352643,5.271530777
Region CD,0.16,3,14,0.681261668,0.032461377,5.330775072
Region CD,0.16,3,15,0.687995254,0.033732138,5.399061496
Region CD,0.16,3,16,0.682791566,0.03469303,5.112403551
Region CD,0.16,3,17,0.636953931,0.035318425,5.449603288
Region CD,0.16,3,18,0.678519716,0.033640994,5.198276053
Region CD,0.16,3,19,0.698770098,0.033848419,6.121204456
Region CD,0.16,3,20,0.670692037,0.034006745,6.062972673
Region CD,0.16,3,21,0.670951429,0.034203035,6.029997438
Region CD,0.16,3,22,0.695512141,0.039720508,4.58559326
Region CD,0.4,1,11,0.839049112,0.058480387,9.835897084
Region CD,0.4,1,12,0.842344502,0.058670371,11.54420597
Region CD,0.4,1,13,0.847001005,0.072201747,10.05759639
Region CD,0.4,1,14,0.847950418,0.063519159,9.966536601
Region CD,0.4,1,15,1.030926506,0.06719543,4.705733351
Region CD,0.4,1,16,1.042791545,0.067235279,5.451963982
Region CD,0.4,1,17,0.840802293,0.062336203,5.212684915
Region CD,0.4,1,18,0.945067405,0.070744113,6.62345278
Region CD,0.4,1,19,1.045901952,0.069347536,5.24062949
Region CD,0.4,1,20,0.947566221,0.072355453,4.697737099
Region CD,0.4,1,21,0.846711579,0.066785102,5.369483319
Region CD,0.4,1,22,0.947398424,0.068267445,5.175122366
Region CD,0.4,2,11,0.85,0.053139175,4.950796455
Region CD,0.4,2,12,1.051608647,0.055110576,7.600054636
Region CD,0.4,2,13,1.061194165,0.052188599,4.639283225
Region CD,0.4,2,14,1.059789913,0.053510992,4.970095876
Region CD,0.4,2,15,1.049176704,0.056713754,4.963071144
Region CD,0.4,2,16,0.85,0.056136913,4.582602011
Region CD,0.4,2,17,1.033105342,0.052682024,4.679822994
Region CD,0.4,2,18,1.056964432,0.053139883,4.945152367
Region CD,0.4,2,19,0.85,0.058915667,4.385542703
Region CD,0.4,2,20,1.054323133,0.058339217,4.737531492
Region CD,0.4,2,21,1.0483729,0.055587351,5.408040216
Region CD,0.4,3,11,0.967796006,0.055407816,7.859796167
Region CD,0.4,3,12,0.959556529,0.054071264,7.316179794
Region CD,0.4,3,13,0.985514214,0.056966753,6.155267576
Region CD,0.4,3,14,0.98317023,0.05196432,5.308683614
Region CD,0.4,3,15,0.990835643,0.05679521,5.276236829
Region CD,0.4,3,16,0.988930192,0.054623489,5.182527827
Region CD,0.4,3,17,0.98598937,0.056873772,5.35042523
Region CD,0.4,3,18,0.986073619,0.056622513,5.083800731
Region CD,0.4,3,19,0.996839748,0.059775569,5.058881953
Region CD,0.4,3,20,0.995395421,0.060813409,4.698091449
Region CD,0.4,3,21,0.998039544,0.063364116,4.354000782
Region CD,0.4,3,22,0.999563146,0.063058765,5.06444513
Region CD,0.6,1,11,1.020864225,0.060943774,5.159137521
Region CD,0.6,1,12,1.066075419,0.067282157,5.063363202
Region CD,0.6,1,13,1.048731031,0.070134791,5.702505968
Region CD,0.6,1,14,1.041584665,0.068211401,5.659667321
Region CD,0.6,1,15,1.078169921,0.074517206,5.67719529
Region CD,0.6,1,16,1.085312556,0.07693371,6.001030115
Region CD,0.6,1,17,1.103057055,0.074037387,5.983465063
Region CD,0.6,1,18,1.080077144,0.075811649,6.331495775
Region CD,0.6,1,19,1.092563174,0.074388747,5.422722787
Region CD,0.6,1,20,1.071477705,0.075010754,6.013314582
Region CD,0.6,1,21,1.069773012,0.075872075,6.358889084
Region CD,0.6,1,22,1.102338039,0.074247272,5.403077877
Region CD,0.6,2,11,0.975872718,0.071029214,5.923292718
Region CD,0.6,2,12,0.991022555,0.072257698,6.631693087
Region CD,0.6,2,13,0.982958233,0.075239056,5.944906514
