Subject,band,pair_label,region_group,n_diff,n_same,hits,false_alarms,H,FA,d_prime,criterion
P85,High,10–26,Off-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P85,High,10–26,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P85,High,15–26,Off-nail,8,4,2,1,0.2777777777777778,0.3,-0.06505528514173742,0.5569281552789096
P85,High,15–26,On-nail,8,4,0,2,0.05555555555555555,0.5,-1.5932188180230507,0.7966094090115253
P85,High,26–60,Off-nail,8,4,7,0,0.8333333333333334,0.1,2.2489731316463013,0.1570649997214496
P85,High,26–60,On-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P85,Low,0.4–1,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P85,Low,0.4–1,On-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P85,Low,0.6–1,Off-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P85,Low,0.6–1,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P85,Low,1–1.4,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P85,Low,1–1.4,On-nail,8,4,2,1,0.2777777777777778,0.3,-0.06505528514173742,0.5569281552789096
P85,Low,1–2,Off-nail,8,4,8,0,0.9444444444444444,0.1,2.8747703835676504,-0.1558336262392248
P85,Low,1–2,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P86,High,10–26,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P86,High,10–26,On-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P86,High,15–26,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P86,High,15–26,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P86,High,26–60,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P86,High,26–60,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P86,Low,0.4–1,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P86,Low,0.4–1,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P86,Low,0.6–1,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P86,Low,0.6–1,On-nail,8,4,6,3,0.7222222222222222,0.7,0.06505528514173764,-0.5569281552789095
P86,Low,1–1.4,Off-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P86,Low,1–1.4,On-nail,8,4,6,4,0.7222222222222222,0.9,-0.6920957676948221,-0.9355036816971893
P86,Low,1–2,Off-nail,8,4,8,1,0.9444444444444444,0.3,2.117619330731091,-0.5344091526575045
P86,Low,1–2,On-nail,8,4,8,2,0.9444444444444444,0.5,1.59321881802305,-0.796609409011525
P87,High,10–26,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P87,High,10–26,On-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P87,High,15–26,Off-nail,8,4,2,0,0.2777777777777778,0.1,0.6920957676948221,0.9355036816971893
P87,High,15–26,On-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P87,High,26–60,Off-nail,8,4,6,0,0.7222222222222222,0.1,1.8710073633943787,0.34604788384741103
P87,High,26–60,On-nail,8,4,8,0,0.9444444444444444,0.1,2.8747703835676504,-0.1558336262392248
P87,Low,0.4–1,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P87,Low,0.4–1,On-nail,8,4,2,0,0.2777777777777778,0.1,0.6920957676948221,0.9355036816971893
P87,Low,0.6–1,Off-nail,8,4,4,3,0.5,0.7,-0.5244005127080407,-0.26220025635402033
P87,Low,0.6–1,On-nail,8,4,1,0,0.16666666666666666,0.1,0.3141299994428992,1.1244865658231507
P87,Low,1–1.4,Off-nail,8,4,1,1,0.16666666666666666,0.3,-0.44302105339366027,0.745911039404871
P87,Low,1–1.4,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P87,Low,1–2,Off-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P87,Low,1–2,On-nail,8,4,5,2,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P88,High,10–26,Off-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P88,High,10–26,On-nail,8,4,2,0,0.2777777777777778,0.1,0.6920957676948221,0.9355036816971893
P88,High,15–26,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P88,High,15–26,On-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P88,High,26–60,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P88,High,26–60,On-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P88,Low,0.4–1,Off-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P88,Low,0.4–1,On-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
P88,Low,0.6–1,Off-nail,8,4,4,0,0.5,0.1,1.2815515655446004,0.6407757827723002
P88,Low,0.6–1,On-nail,8,4,3,2,0.3888888888888889,0.5,-0.28221614706250814,0.14110807353125407
P88,Low,1–1.4,Off-nail,8,4,5,2,0.6111111111111112,0.5,0.28221614706250825,-0.14110807353125412
P88,Low,1–1.4,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P88,Low,1–2,Off-nail,8,4,5,0,0.6111111111111112,0.1,1.5637677126071086,0.4996677092410461
P88,Low,1–2,On-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P89,High,10–26,Off-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P89,High,10–26,On-nail,8,4,6,1,0.7222222222222222,0.3,1.1138563105578192,-0.03252764257086871
P89,High,15–26,Off-nail,8,4,3,1,0.3888888888888889,0.3,0.24218436564553275,0.40330832988527454
P89,High,15–26,On-nail,8,4,4,2,0.5,0.5,0.0,-0.0
P89,High,26–60,Off-nail,8,4,5,1,0.6111111111111112,0.3,0.8066166597705491,0.12109218282276632
P89,High,26–60,On-nail,8,4,7,1,0.8333333333333334,0.3,1.491822078809742,-0.22151052669683013
P89,Low,0.4–1,Off-nail,8,4,7,2,0.8333333333333334,0.5,0.9674215661017012,-0.4837107830508506
P89,Low,0.4–1,On-nail,8,4,4,1,0.5,0.3,0.5244005127080409,0.26220025635402044
